,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
35,Estonia,EST,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,18.41374491,20.87979742,22.62601519,24.02214518,23.82330696,20.27655947,19.469407,17.33943508,16.0008254,13.93352095,12.38083067,11.17241211
36,Euro area,EMU,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,33.60374054,31.91566332,33.70988261,37.40457916,36.66019876,35.39429927,34.20988644,35.51371592,32.08962518,29.66616573,28.05474936,27.51794312
37,Europe & Central Asia,ECS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,23.67292705,25.08166982,26.37115429,26.18316513,27.53638188,25.51434049,25.82843521,24.21985624,24.53420937,24.57580777,24.57340348,24.19288489
38,Europe & Central Asia (excluding high income),ECA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,9.670207822,12.23153792,13.76968007,15.96098151,21.94465692,21.68115245,21.90784767,22.99186905,23.50287829,22.71701011,21.953448100000003,22.20923864
39,European Union,EUU,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,29.02729873,28.32138025,30.76476027,32.66652505,33.91940926,34.75783591,33.14900603,32.74848596,33.20473958,30.02571642,28.05474936,27.51794312
40,Fiji,FJI,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,9.256819784,9.633455766,10.58667537,11.31041432,11.64845962,11.30238364,11.13676935,10.87489328,10.45912333,11.01344438,12.19894741,12.26991935
41,Finland,FIN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,13.17298341,14.41617085,16.95207175,16.11415674,16.06794043,14.96667639,15.49782561,15.08069094,13.58386633,12.1961853,12.05686018,8.067428718
42,France,FRA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,21.56349825,21.9998762,45.89163692,44.89053194,44.56006074,41.92404405,41.57371849,41.38512301,39.00721267,38.66794976,37.98863838,37.517557700000005
43,"Gambia, The",GMB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.260378348,4.511943113,5.255630094,6.189410525,7.408748909,7.742141157000001,9.47278447,9.177738648,8.781490684,9.194556822000001,8.984760687,9.053321262
44,Germany,DEU,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,21.26901093,20.18391043,16.67800265,16.30281928,16.31470146,15.85733642,15.7042927,15.53656716,14.16187351,14.59825981,14.518993099999998,14.05620983
