,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
108,Saudi Arabia,SAU,Internet users (per 100 people),IT.NET.USER.P2,10.234533,12.70503599,19.45955435,30.0,36.0,38.0,41.0,47.5,54.0,60.5,64.71365737
109,Senegal,SEN,Internet users (per 100 people),IT.NET.USER.P2,4.38602398,4.786684083,5.6117386520000005,6.89,7.12,7.5,8.0,9.8,10.8,13.1,17.7
110,Singapore,SGP,Internet users (per 100 people),IT.NET.USER.P2,62.0,61.0,59.0,69.9,69.0,69.0,71.0,71.0,72.0,80.90205685,79.02923586
111,Slovenia,SVN,Internet users (per 100 people),IT.NET.USER.P2,40.81,46.81,54.01,56.74,58.0,64.0,70.0,67.33999481,68.34997453,72.6756,71.59
112,Solomon Islands,SLB,Internet users (per 100 people),IT.NET.USER.P2,0.649672673,0.8443075729999999,1.6463479890000001,2.0,3.0,4.0,5.0,6.0,6.9974,8.0,9.0
113,South Africa,ZAF,Internet users (per 100 people),IT.NET.USER.P2,8.425118682999999,7.48854253,7.607139675,8.065375174,8.43,10.0,24.0,33.97,41.0,46.5,49.0
114,South Asia,SAS,Internet users (per 100 people),IT.NET.USER.P2,2.1843760359999997,2.546688328,2.9833483060000003,3.9734001180000003,4.416823408,5.157112647,7.206545642000001,9.393092787,11.512009800000001,13.74662379,19.07094498
115,Spain,ESP,Internet users (per 100 people),IT.NET.USER.P2,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.08999939,69.80999994,71.635,76.19
116,Sri Lanka,LKA,Internet users (per 100 people),IT.NET.USER.P2,1.44615998,1.792046794,2.537566129,3.88,5.8,8.78,12.0,15.0,18.2854,21.9,25.8
117,Sub-Saharan Africa,SSF,Internet users (per 100 people),IT.NET.USER.P2,1.5060415969999998,2.044469415,2.724794194,3.502090818,3.91717389,4.647590094,7.154989898999999,8.489822936,10.36621995,12.41703625,14.76994239
