,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
10,Benin,BEN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,5675602454.0,5772744796.0,6000595826.0,6359822427.0,6671033591.0,6825749998.0,6970240895.0,7176751732.0,7521973830.0,8063036668.0,8575645914.0
11,Bhutan,BTN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,940813179.5,1007823159.0,1076852656.0,1269887377.0,1330440106.0,1419010481.0,1585472534.0,1710580807.0,1797336501.0,1835844374.0,1941321989.0
12,Bolivia,BOL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,15031978202.0,15696607066.0,16449574692.0,17200380150.0,18257962323.0,18870882348.0,19649631308.0,20672216340.0,21731104040.0,23207952414.0,24475238844.0
13,Botswana,BWA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,9785089873.0,10230961746.0,11086666195.0,12004283365.0,12754003367.0,11778027466.0,12786654366.0,13560031676.0,14164289363.0,15771004794.0,16425383641.0
14,Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1719730000000.0,1774800000000.0,1845120000000.0,1957110000000.0,2056810000000.0,2054220000000.0,2208870000000.0,2296660000000.0,2340780000000.0,2411120000000.0,2423270000000.0
15,Bulgaria,BGR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,40553482000.0,43488010218.0,46424813785.0,49988081047.0,52810910666.0,50582434410.0,50610031136.0,51579222347.0,51595182819.0,52039981143.0,52731514288.0
16,Burkina Faso,BFA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6144638535.0,6676878621.0,7094394431.0,7495582799.0,8042347948.0,8280563450.0,8979966766.0,9565619495.0,10182857809.0,10469470948.0,10907717217.0
17,Burundi,BDI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1612571959.0,1627085107.0,1714698066.0,1796760634.0,1887463245.0,1952928500.0,2026864469.0,2111823041.0,2196704928.0,2297622744.0,2404713060.0
18,Cabo Verde,CPV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1171578994.0,1252563900.0,1352565476.0,1557758965.0,1661358044.0,1640251720.0,1664310770.0,1730365372.0,1749086512.0,1763128136.0,1773904599.0
19,Cameroon,CMR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,20005170990.0,20464660331.0,21124441591.0,21812182535.0,22441255964.0,22874787500.0,23622483984.0,24600594629.0,25729451636.0,27160443493.0,28770233462.0
20,Chad,TCD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,7165890625.0,8407921035.0,8462426393.0,8739274637.0,9006057734.0,9385905830.0,10657705536.0,10666537556.0,11614000868.0,12275999076.0,13123041176.0
21,Chile,CHL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,171787000000.0,181652000000.0,193128000000.0,202601000000.0,209752000000.0,206471000000.0,218538000000.0,231892000000.0,244226000000.0,254105000000.0,258957000000.0
