,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
101,Paraguay,PRY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.07117073,71.28580488,71.49134146,71.69380488,71.89678049,72.0997561,72.2982439,72.48517073,72.6545122,72.8037561,72.93241463
102,Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.13619512,72.45902439,72.74595122,73.00197561,73.23356098,73.44770732,73.65136585,73.85253659,74.05668293,74.26678049,74.48536585
103,Philippines,PHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.6895122,67.80224390000001,67.91256098,68.02248780000001,68.132,68.24309756,68.35826829,68.4784878,68.60421951,68.73495122,68.87017073
104,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.84634146,74.99512195,75.14390244,75.24390244,75.54390244,75.69512195,76.24634146,76.69512195,76.74634146,77.0,77.60243902
105,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.67073171,78.07073171,78.4195122,78.32195122,78.52439024,78.72682927,79.02682927,80.47073171,80.37317073,80.72195122,81.12195122
106,Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.47097561,65.5297561,66.72756098,67.58682927,67.94926829,68.68463415,68.84121951,69.68390244,70.07219512,70.57878049,70.74365854
107,Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.69368293,55.36658537,57.15278049,58.90234146,60.49380488,61.88834146,63.06556098,64.03158537,64.83546341,65.52270732,66.11334146
108,Saudi Arabia,SAU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.13207317,73.2047561,73.27226829,73.34763415,73.44139024,73.55807317,73.70014634,73.86360976,74.03846341,74.21821951,74.39739024
109,Senegal,SEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.79729268,60.47531707,61.19304878,61.93317073,62.67502439,63.39863415,64.08363415,64.71331707,65.28558537,65.80073171,66.25782927
110,Singapore,SGP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.4902439,79.9902439,80.14146341,80.44146341,80.79024390000001,81.24146341,81.54146341,81.74390244,81.99512195,82.24634146,82.49512195
111,Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.20731707,77.61219512,78.08658537,78.56097561,78.76585366,78.97073171,79.42195122,79.97073171,80.12439024,80.32195122,81.07804878
112,Solomon Islands,SLB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.57904878,66.13660976,66.6717561,67.18768293,67.68565854,68.16556098,68.62282927,69.05343902,69.45295122,69.82241463,70.16231707
113,South Africa,ZAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.88031707,52.56317073,52.60460976,52.99702439,53.70407317,54.68346341,55.86960976,57.18107317,58.52041463,59.80007317,60.95478049
