,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
50,Heavily indebted poor countries (HIPC),HPC,Time required to start a business (days),IC.REG.DURS,55.23529412,58.51351351,55.81578947,50.05263158,49.42105263,46.89473684,42.5,31.98684211,30.23684211,24.63157895,21.32894737
51,High income,HIC,Time required to start a business (days),IC.REG.DURS,32.95652174,32.11764706,30.01886792,26.79464286,24.20175439,23.65789474,22.57894737,19.71186441,19.925,19.04666667,17.7
52,Honduras,HND,Time required to start a business (days),IC.REG.DURS,61.0,69.0,57.0,20.0,20.0,14.0,14.0,14.0,14.0,14.0,14.0
53,Hungary,HUN,Time required to start a business (days),IC.REG.DURS,52.0,38.0,38.0,16.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
54,Iceland,ISL,Time required to start a business (days),IC.REG.DURS,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.0
55,India,IND,Time required to start a business (days),IC.REG.DURS,81.0,70.0,34.0,32.0,29.0,29.0,27.0,27.0,25.0,26.1,28.4
56,Indonesia,IDN,Time required to start a business (days),IC.REG.DURS,151.0,151.0,97.0,105.0,77.0,62.0,49.0,48.0,48.0,75.5,52.5
57,"Iran, Islamic Rep.",IRN,Time required to start a business (days),IC.REG.DURS,28.0,27.0,27.0,27.0,27.0,8.0,10.0,10.0,15.0,15.0,12.0
58,Ireland,IRL,Time required to start a business (days),IC.REG.DURS,18.0,18.0,13.0,13.0,13.0,13.0,13.0,13.0,10.0,10.0,6.0
59,Israel,ISR,Time required to start a business (days),IC.REG.DURS,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,13.0,13.0
60,Italy,ITA,Time required to start a business (days),IC.REG.DURS,13.0,13.0,13.0,13.0,10.0,10.0,6.0,6.0,6.0,6.0,5.0
61,Jamaica,JAM,Time required to start a business (days),IC.REG.DURS,31.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,15.0
62,Japan,JPN,Time required to start a business (days),IC.REG.DURS,31.0,30.0,22.0,22.0,22.0,22.0,22.0,11.0,11.0,10.7,10.7
63,Jordan,JOR,Time required to start a business (days),IC.REG.DURS,26.0,16.0,16.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0
64,Kazakhstan,KAZ,Time required to start a business (days),IC.REG.DURS,26.0,25.0,21.0,21.0,21.0,20.0,19.0,19.0,19.0,12.0,10.0
65,Kenya,KEN,Time required to start a business (days),IC.REG.DURS,47.0,54.0,54.0,44.0,31.0,31.0,31.0,33.0,32.0,32.0,30.0
66,"Korea, Rep.",KOR,Time required to start a business (days),IC.REG.DURS,17.0,17.0,17.0,17.0,17.0,14.0,14.0,7.0,4.0,4.0,4.0
67,Kuwait,KWT,Time required to start a business (days),IC.REG.DURS,35.0,35.0,35.0,35.0,35.0,35.0,35.0,32.0,32.0,32.0,31.0
68,Latin America & Caribbean,LCN,Time required to start a business (days),IC.REG.DURS,69.04545455,75.4516129,70.67741935,64.921875,64.0,61.703125,57.0,52.98484848,53.10606061,34.22424242,29.31515152
69,Latin America & Caribbean (excluding high income),LAC,Time required to start a business (days),IC.REG.DURS,73.64705882,84.95652174,80.30434783,74.08695652,72.82608696,68.93478261,63.0,62.65217391,62.782608700000004,35.90869565,29.90869565
70,Latvia,LVA,Time required to start a business (days),IC.REG.DURS,16.0,16.0,16.0,16.0,15.5,15.5,15.5,15.5,15.5,12.5,12.5
