Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Bolivia,BOL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,27200000,52000000,93100000,123800000,130200000,392700000,474100000,730600000,949300000,1010500000,736350000,705756000,676543000,197400000,65430000,-238620000,280763457,366294241.538303,512335605.237139,423040000,621997989.548348,858941070.400943,1059965390.78481,1749612614.39791,656566350.80003,503444026.767183,..
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,66736468.3604304,176780594.760508,146075610.876644,118495219.813023,267769568.956599,381784637.391406,889597294.548592,623812851.5592,845962876.359591,1841972230.25245,1004852659.85344,138511019.727863,443840207.092831,471610992.220788,391976946.37519,313295008.331529,523013851.017251,293449281.523259,259405862.489613
Botswana,BWA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,95889963.0424101,-8211493.78284392,-1564184.90561567,-286949434.086852,-14154569.0110668,70413220.7555473,71182310.7136662,100109748.737479,95318134.9210105,36675065.7829259,57171313.1719089,30680473.5531892,407997828.632639,418040911.863625,390889365.258246,420853645.921794,486912042.119022,494635511.689802,520918009.896953,208699416.069409,218380384.210613,1371087723.99501,542804860.564885,398456549.594684,515184275.524134,393471406.232658,..
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,989000000,1103000000,2061000000,1292000000,3072000000,4859000000,11200000000,19650000000,31913000000,28576000000,32994718699.75,23225846372.251,16586600193.114,10123013670.9901,18181190855.2842,15459981604.1196,19378093068.2773,44579492463.6336,50716402711.4787,31480932200,88452079263.99,101157817518.34,86606502980.75,69181422946.63,96894980842.28,74693632858.27,78928533471.72
British Virgin Islands,VGB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,8097400000,3789500000,5450700000,9660500000,28309800000,-7142300000,12014700000,37139500000,52582700000,41590100000,51225900000,57575800000,74501700000,112127900000,49985700000,51605700000,..
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,60694643.6567847,229671955.675396,123820911.146427,113205866.961457,175068516.562807,87839128.3133849,257635717.48831,222184549.489168,325586827.786629,480722546.956018,691170274.502945,864905527.50146,775641999.088853,567889727.238288,173243339.564044,..
Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4000000,55900000,41500000,40000000,105400000,90400000,109000000,504800000,537317256.150851,818788154.863275,1001503841.99968,812942201.973002,904659791.087722,2096788700.05598,3072550961.81564,4098122930.77934,7874476255.43262,13875270456.9117,10296720633.7243,3896664559.17164,1842900000,2103810000,1788110000,1989040000,2067540000,2778170000,1272750000
Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,460000,570000,3113052.1512,3178381.3563,18371592.4749,9816727.704,16225134.4927,9765809.0459,4407138.2079,7925950.8299,23219874.8662179,9164593.58574799,16063399.5553789,30831022.5795712,3829373.7854423,32254080.6130933,83774772.5475289,21683121.7550587,33056780.4110799,56426881.7661007,38832813.0768907,143657274.755751,329300811.215413,490264030.526046,356821732.388408,167397328.5992,..
Burundi,BDI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1255434.74294,892500.106741911,600088.333002618,473679.874783755,3957.84890911789,1981922.46479085,100,100,2000000,238660.308306532,11683518.1913211,-11440.9127038289,..,..,44690.7076028704,584701.692574563,31593.7781888499,500245.093059071,3833208.34759484,348404.534569828,780582.003631939,3354999.1805922,604919.651526489,116727136.517749,81747197.2345183,49584377.2763083,..
Cabo Verde,CPV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,252601.216598285,1744334.22803128,450471.753014845,3644068.12685392,2128443.3544658,26180647.1200555,28528007.7360696,11576610.7394555,9039816.27500589,53318559.5158824,33424781.9681073,9009644.37084194,14776817.6299073,39247752.5887798,67591507.8836349,80448834.0611337,131567607.868431,191868198.004826,211004655.102285,127100653.15957,116213000.678585,102224984.149501,128951911.231044,89337245.6717332,180260496.38753,96026947.0276999,119202394.04786
