Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Fragile and conflict affected situations,FCS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,45121,41898,42124,42435,41530,26482,22840,23242,31616,24032,24598,33116
French Polynesia,PYF,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1949,2219,2219,2202,2502,2485,2238,2417,2417,2613,2447,2727
"Gambia, The",GMB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Georgia,GEO,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,4855.8,6127,6127,7379,6928,5417,6228,6055,..,5539.6,4987.5,4261.25
Germany,DEU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,77620,88022,89690,91013,91178,93946,105794,111980,105894,75247,74818,72913
Ghana,GHA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,242,242,..,..,181,..,..,..,..,..,..,..
Gibraltar,GIB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,588,613,661,835,786,538,538,538,538,538,538,..
Greenland,GRL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Guam,GUM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Guinea,GIN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,GNB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Guyana,GUY,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Haiti,HTI,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
High income,HIC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,10373,10311,11520,11282,11500,9273,9088.5,9395,8692.5,8624.815,8889.46,..
Honduras,HND,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,8270,8997,9083,8323,7786,447,1000,733,1179,705,439.14,446.84
IBRD only,IBD,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,4136.5,4932,4962.5,5837,4343,4071.5,3901,5038.5,4032,4032,4987.5,..
Iceland,ISL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
IDA & IBRD total,IBT,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,2762,..,3236.5,..,..,..,..,..,..,..
IDA blend,IDB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1399,1399,2527,4499.5,3092,..,..,1464.5,1407,1406.98,..,..
IDA only,IDX,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
