Country Name,Country Code,Series,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Cote d'Ivoire,CIV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.12571001052856,4.1065502166748,4.00059986114502,4.25833988189697,4.36057996749878,4.39844989776611,4.56262016296387,4.12951993942261,4.61273002624512,4.74306011199951,4.72938013076782,5.03422021865845
Croatia,HRV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.81892991065979,..,..,3.97494006156921,4.26627016067505,4.38880014419556,4.25269985198975,4.15279006958008,..,4.58160018920898,..,..
Cuba,CUB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,10.2682800292969,10.557689666748,9.05729007720947,11.8682899475098,14.0590801239014,13.1251602172852,12.83726978302,..,..,..,..,..
Curacao,CUW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,4.93095016479492,..,..
Cyprus,CYP,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.08196020126343,6.19600009918213,6.22760009765625,6.25248003005981,6.72402000427246,7.2062201499939,6.58024978637695,6.56237983703613,..,6.4396800994873,6.1383900642395,..
Czech Republic,CZE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.01743984222412,3.89627003669739,4.22045993804932,3.87684011459351,3.74838995933533,4.18236017227173,4.07728004455566,4.27612018585205,4.2507700920105,4.08901977539063,..,..
Denmark,DNK,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,8.18589019775391,8.06515026092529,7.74031019210815,7.61054992675781,7.48215007781982,8.50887966156006,8.61151027679443,8.5629997253418,7.29557991027832,8.62710952758789,..,..
Djibouti,DJI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,9.2941198348999,8.36184024810791,8.2573299407959,8.38916015625,..,..,4.48079013824463,..,..,..,..,..
Dominica,DMA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,2.04456996917725,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,ECU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,4.34242010116577,4.50743007659912,4.72689008712769,4.64307022094727,5.00464010238647,5.24687004089355,4.96322011947632
"Egypt, Arab Rep.",EGY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.6736102104187,4.78997993469238,3.99984002113342,3.6836199760437,3.75872993469238,..,..,..,..,..,..,..
El Salvador,SLV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,2.73246002197266,3.01268005371094,3.05447006225586,3.74166011810303,3.96954011917114,3.48668003082275,3.41749000549316,3.33400988578796,3.43306994438171,3.44857001304626,3.54505991935729
Equatorial Guinea,GNQ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.14896988868713,..,2.12700009346008,..,..,..,..,..,..,..,..,..
Estonia,EST,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.91180992126465,4.84485006332397,..,4.66395998001099,5.51750993728638,5.95415019989014,5.52699995040894,5.01738023757935,4.71293020248413,4.84917020797729,5.48163986206055,..
Ethiopia,ETH,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,5.50581979751587,5.43685007095337,5.41786003112792,4.42573022842407,4.4961199760437,5.48400020599365,5.56762981414795,4.50051021575928,..,..
Euro area,EMU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia,ECS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
European Union,EUU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Faroe Islands,FRO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.16492986679077,5.12197017669678,5.6071400642395,5.84843015670776,4.25357007980347,4.49847984313965,..,4.17305994033813,..,3.88288998603821,..,..
Finland,FIN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.18711996078491,6.0503101348877,5.92484998703003,5.67343997955322,5.83805990219116,6.48621988296509,6.5442099571228,6.47770023345947,7.18510007858276,7.17039012908936,7.16809988021851,..
France,FRA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.63953018188477,5.50595998764038,5.45172023773193,5.43310022354125,5.43274021148682,5.73557996749878,5.67910003662109,5.51392984390259,5.52535009384155,5.49299001693726,..,..
French Polynesia,PYF,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,3.07873010635376,2.98800992965698,3.01219010353088,3.0298900604248,2.66616988182068,..
"Gambia, The",GMB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.03450000286102,1.13917994499207,1.20948994159698,1.30850994586945,3.52742004394531,3.072350025177,4.15337991714478,3.89921998977661,4.08974981307983,2.76770997047424,..,..
Georgia,GEO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.91420006752014,2.48430991172791,3.00363993644714,2.69687008857727,2.91955995559692,3.22238993644714,..,2.69621992111206,1.98330998420715,..,..,..
Germany,DEU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,4.28512001037598,4.34861993789673,4.41253995895386,4.88104009628296,4.91379022598267,4.8133602142334,4.93020009994507,4.9284200668335,4.95218992233276,..
Ghana,GHA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,7.53558015823364,7.42208003997803,5.2599401473999,5.51986980438232,5.75795984268188,5.31744003295898,5.54059982299805,8.14097023010254,7.91913986206055,6.09818983078003,6.17854976654053,..
Gibraltar,GIB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.66181993484497,3.96878004074097,..,..,..,..,..,..,..,..,..,..
Greenland,GRL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Guam,GUM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,2.9818799495697,3.03594994544983,3.18316006660461,..,2.80384993553162,2.9202299118042,2.9557900428772,2.84291005134583,2.94174003601074,2.95595002174377
Guinea,GIN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.20937991142273,1.84968996047974,..,..,2.43606996536255,3.22082996368408,3.69437003135681,3.06633996963501,2.47077989578247,3.54483008384705,3.20816993713379,..
Guinea-Bissau,GNB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,1.86755001544952,1.84465003013611,1.98954999446869,2.17313003540039,..,..
Guyana,GUY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.52104997634888,8.13346004486083,5.0886402130127,3.75389003753662,..,3.36196994781494,3.66156005859375,3.58898997306824,3.19215989112854,..,..,..
Haiti,HTI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
High income,HIC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,HND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,5.86775016784667,..,..
"Hong Kong SAR, China",HKG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.54689979553223,4.12508010864258,3.84857988357544,3.4622700214386,3.26212000846863,4.38567018508911,3.50843000411987,3.41118001937866,3.51766991615295,3.7548999786377,3.56972002983093,3.26212000846863
Hungary,HUN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.35553979873657,5.34252977371216,5.32152986526489,5.16341018676758,4.99513006210327,4.98788022994995,4.79087018966675,4.61790990829468,..,4.22427988052368,4.65934991836548,..
Iceland,ISL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,7.22386980056763,7.41831016540527,7.34941005706787,7.08195018768311,7.26275014877319,7.35440015792847,7.20557022094727,7.0496301651001,7.85978984832764,7.8058500289917,..,..
India,IND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.29649996757507,3.13593006134033,3.09354996681213,..,..,3.31076002120972,3.42416000366211,3.83866000175476,3.86588001251221,3.84236001968384,..,..
Indonesia,IDN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.74347996711731,2.8772599697113,..,3.04493999481201,2.90112996101379,3.52273988723755,2.81397008895874,3.19015002250671,3.40578007698059,3.35768008232117,3.27860999107361,3.59180998802185
"Iran, Islamic Rep.",IRN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.29024982452393,4.20293998718262,4.42045021057129,4.73686981201172,4.06044006347656,3.99422001838684,3.86683011054993,3.65617990493774,3.22215008735657,3.15031003952026,2.95419001579285,2.92898988723755
Iraq,IRQ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,IRL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.49042987823486,4.52713012695313,4.54536008834839,4.71708011627197,5.43745994567871,6.13871002197266,6.06450986862183,5.78467988967896,5.73676013946533,5.3245701789856,..,..
Isle of Man,IMN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.94645977020264,5.74742984771729,5.74666023254395,5.48117017745972,5.5168399810791,5.47994995117188,5.54107999801636,5.57027006149291,5.74965000152588,5.83490991592407,5.75726985931396,..
Italy,ITA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.39221000671387,4.2486400604248,4.53329992294312,4.11737012863159,4.4086799621582,4.54463005065917,4.36466979980469,4.13766002655029,..,4.17669010162354,4.07985019683838,..
Jamaica,JAM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.90902996063232,4.61391019821166,..,5.49256992340088,6.18873977661133,6.20124006271362,6.34272003173828,6.28178977966309,6.1159200668335,6.27077007293701,6.02467012405396,5.46195983886719
Japan,JPN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.48578000068665,3.36840009689331,3.32993006706238,3.33017992973328,3.31720995903015,..,3.63579988479614,3.64514994621277,3.69532990455627,3.66506004333496,3.59184002876282,..
Jordan,JOR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Kazakhstan,KAZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.25595998764038,2.26370000839233,2.63032007217407,2.84240007400513,2.58189010620117,3.06209993362427,..,..,..,..,..,2.78749990463257
Kenya,KEN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.80765008926392,7.36066007614136,7.02861976623535,..,..,..,5.51531982421875,5.33416986465454,5.50300979614258,5.41311979293823,5.27475023269653,5.2739200592041
Kiribati,KIR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People’s Rep.",PRK,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.11543989181519,3.90051007270812,3.96764993667603,3.96466994285584,4.48218011856079,4.67676019668579,..,..,4.62754011154175,..,..,5.05211019515991
Kosovo,XKX,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.53515005111694,4.73824977874756,3.76001000404358,..,..,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.62242984771729,4.86897993087769,5.54013013839722,6.46233987808228,5.91293001174927,6.23959016799927,5.82859992980957,6.79035997390747,7.39545011520386,6.78583002090454,5.52737998962402,..
Lao PDR,LAO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.41775989532471,2.41805005073547,2.95719003677368,3.07491993904114,2.27868008613586,1.65395998954773,1.70882999897003,1.80996000766754,1.98464000225067,3.44942998886108,3.32011008262634,..
Latin America & Caribbean,LCN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Latvia,LVA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.8550500869751,..,4.71155023574829,4.65621995925903,5.40537977218628,5.57353019714355,5.08097982406616,4.94513988494873,6.60559988021851,6.98929023742676,5.28524017333984,..
Least developed countries: UN classification,LDC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.66588997840881,2.67151999473572,2.80504989624023,2.60635995864868,2.0331699848175,1.77787005901337,1.63172996044159,1.64677000045776,2.19046998023987,2.57119011878967,..,..
Lesotho,LSO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,11.1090097427368,12.0796699523926,11.2712802886963,..,11.3611402511597,..,..,..,..,..,..,..
Liberia,LBR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,3.16142010688782,..,..,..,2.75756001472473,..,..,..
Libya,LBY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.43333005905151,..,2.05380988121033,1.92119002342224,2.04836988449097,..,..,2.55604004859924,..,..,..,..
Lithuania,LTU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.16915988922119,4.87318992614746,4.82054996490479,4.5905499458313,4.83453989028931,5.57741022109985,5.29902982711791,5.12227010726929,4.76878976821899,4.61250019073486,..,..
Low & middle income,LMY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Lower middle income,LMC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
