Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.3804878048781,77.8829268292683,77.6780487804878,78.0317073170732,78.5292682926829,78.6829268292683,79.6268292682927,80.1268292682927,80.1317073170732,80.3829268292683,80.8780487804878,81.4243902439025,81.4780487804878,81.3292682926829,81.7804878048781,81.5804878048781,82.3756097560976,82.3268292682927,82.3756097560976,82.7756097560976,82.9780487804878,83.4219512195122,83.4804878048781,83.8317073170732,83.9804878048781,84.2780487804878,..
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.3156097560976,69.3770731707317,69.1170731707317,69.1012195121951,69.469756097561,69.7917073170732,70.3287804878049,70.7024390243902,70.5578048780488,70.6770731707317,71.2463414634146,72.2487804878049,72.3487804878049,72.3,72.6487804878049,72.6487804878049,73.0975609756098,73.1512195121951,73.7024390243903,73.9048780487805,74.2073170731707,74.8585365853659,75.0634146341463,75.5658536585366,75.7634146341463,75.9609756097561,..
IBRD only,IBD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.4417589831937,65.6905325234795,65.8939548314411,66.0829383531418,66.3351345228427,66.6224719232866,66.9614312707282,67.3187013807802,67.651828692176,67.9384202635842,68.2518824467991,68.5757903556109,68.8785759599867,69.1816035308668,69.497642547101,69.7863127490241,70.1144379735221,70.4252394827436,70.7141784370539,71.025485250497,71.3069630398974,71.602506517343,71.86153187313,72.1158974312409,72.3433563506421,72.5554402216798,..
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.0363414634146,77.9919512195122,78.760243902439,78.9346341463415,79.2470731707317,77.9843902439024,78.7778048780488,78.8853658536585,79.6024390243903,79.3512195121951,79.6536585365854,80.690243902439,80.5024390243903,80.9634146341464,80.9975609756098,81.5024390243902,81.1585365853659,81.4536585365854,81.609756097561,81.7512195121951,81.8975609756098,82.3585365853659,82.9170731707317,82.0609756097561,82.8609756097561,82.8609756097561,..
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.1554120958376,63.3723527709131,63.5447609797085,63.7108790724421,63.9301232845153,64.1812538551492,64.4775483995865,64.7960530960787,65.0908140495219,65.3584950141045,65.6570100000201,65.9685486512242,66.2728738253577,66.5878835905234,66.9222126926654,67.2427935211081,67.5990367401423,67.9441479745401,68.2713474356108,68.6116932191602,68.9219793117059,69.2351110739092,69.5135759405499,69.7821004409109,70.0240292162335,70.2484202847189,..
IDA blend,IDB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.1808796772951,55.1699851507348,55.1462821782666,55.1017593271416,55.0599184634793,55.0269345799678,55.0135580786804,55.0296465377438,55.0691150229523,55.1515186268467,55.2923698115378,55.499827989098,55.7781162780708,56.1109855430406,56.5045489703312,56.947006705493,57.4284189086889,57.9339500322508,58.4461330580115,58.9499261920558,59.4382175997802,59.8924281874401,60.3060355795938,60.6885370276235,61.0388115218693,61.3583280802999,..
IDA only,IDX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.0392850444328,53.3019278787198,53.5825401413566,53.885894392286,54.2095006298622,54.5581906393881,54.9300122120314,55.314158718781,55.7102390166605,56.128856207419,56.5688665736212,57.040478497973,57.544131175267,58.0884917959224,58.6617343011774,59.2551653687421,59.8581468530745,60.4595565010299,61.0440441816055,61.5996622468563,62.1161244939978,62.5942428400895,63.0408196580818,63.4596168586035,63.8531216981837,64.222993970503,..
IDA total,IDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.7586334318232,53.9290462609048,54.1070781189717,54.2931689889498,54.4939609134758,54.7147659425723,54.9578886978574,55.2193010451381,55.4966915643996,55.8036916949042,56.1446972844681,56.5292892388995,56.9590510163838,57.4344964944431,57.9493469742472,58.493783027819,59.0573117966187,59.6274961127339,60.1882596711173,60.7266635353781,61.2331003052094,61.7024604985537,62.1376026157035,62.5437843426285,62.922372578826,63.2750735074857,..
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.9265365853659,58.4225365853659,58.9294146341463,59.4367804878049,59.9377073170732,60.424756097561,60.8929756097561,61.3429024390244,61.7750243902439,62.1908536585366,62.5933902439024,62.9856341463415,63.3745365853659,63.7649756097561,64.1583902439024,64.5600975609756,64.9709024390244,65.389756097561,65.8106585365854,66.2301707317073,66.6399268292683,67.0316585365854,67.4000731707317,67.7393414634146,68.0500243902439,68.3326097560976,..
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.2599024390244,63.6162926829268,63.9742682926829,64.3282926829268,64.6738536585366,65.0018780487805,65.3058292682927,65.5821707317073,65.8293902439024,66.0494634146341,66.2468780487805,66.4301219512195,66.608243902439,66.7888048780488,66.9748780487805,67.1685609756098,67.3684878048781,67.5697317073171,67.7682926829268,67.9631463414634,68.1527317073171,68.3374146341464,68.5175853658537,68.6951219512195,68.8684878048781,69.0386341463415,..
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.8828780487805,65.1453414634147,66.203512195122,67.0782195121951,67.7713902439024,68.3059268292683,68.7221463414634,69.0763170731707,69.4155609756098,69.7659512195122,70.1371951219512,70.5216585365854,70.8984390243903,71.2538536585366,71.5936341463415,71.9307073170732,72.2836341463415,72.6632195121951,73.0730975609756,73.5091951219512,73.9561951219512,74.3946097560976,74.8028292682927,75.1654146341463,75.4781951219512,75.7426341463415,..
