,Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
31,Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,460000.0,570000.0,3113052.1512,3178381.3563,18371592.4749,9816727.704,16225134.4927,9765809.0459,4407138.2079,7925950.8299,23219874.8662179,9164593.58574799,16063399.5553789,30831022.5795712,3829373.7854423,32254080.6130933,83774772.5475289,21683121.7550587,33056780.4110799,56426881.7661007,38832813.0768907,143657274.755751,329300811.215413,490264030.526046,356821732.388408,167397328.5992
32,Burundi,BDI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1255434.74294,892500.106741911,600088.333002618,473679.874783755,3957.84890911789,1981922.46479085,100.0,100.0,2000000.0,238660.308306532,11683518.1913211,-11440.9127038289,27576983522.815544,26521921186.629208,44690.7076028704,584701.692574563,31593.7781888499,500245.093059071,3833208.34759484,348404.534569828,780582.003631939,3354999.1805922,604919.651526489,116727136.517749,81747197.2345183,49584377.2763083
33,Cabo Verde,CPV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,252601.216598285,1744334.22803128,450471.753014845,3644068.12685392,2128443.3544658,26180647.1200555,28528007.7360696,11576610.7394555,9039816.27500589,53318559.5158824,33424781.9681073,9009644.37084194,14776817.6299073,39247752.5887798,67591507.8836349,80448834.0611337,131567607.868431,191868198.004826,211004655.102285,127100653.15957,116213000.678585,102224984.149501,128951911.231044,89337245.6717332,180260496.38753,96026947.0276999
34,Cambodia,KHM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7287682988.79307,5825475306.284098,33000000.0,54124000.0,68900000.0,150800000.0,293600000.0,203700000.0,242822982.413851,232238729.45348,118308566.310881,146481995.063845,130956363.872694,81580650.5580651,131416229.281784,377180190.600284,483209382.712787,867288538.643542,815180217.958377,511114452.01196,735199191.387708,795460489.148998,1440978035.23129,1345044251.79474,1730355930.06587,1700968602.07379
35,Cameroon,CMR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-112831336.842375,-14498049.7545054,29203775.7802858,5120733.12285923,-9005687.52232003,7292420.07210034,101315910.027814,78335616.3021632,215105209.392868,-15494743.3000537,159311347.966861,-11658187.0086996,502881968.71017,334137809.921051,67863015.1171009,243504753.307842,59069772.8495726,189330876.448617,20910875.6177364,743285027.269427,535742601.499259,652411755.806169,527394101.244602,547249169.110124,724889079.351744,694057556.551568
36,Canada,CAN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7580601938.18178,2874387247.60276,4776794694.12152,4748859062.86054,8223759965.39026,9319143130.32225,9635109106.00339,11522842174.4894,22742494378.7268,24788755778.1258,68309240320.0148,28392596347.2415,24496718382.1588,7011850119.93989,1441912586.52446,25545319851.8862,64302242674.7711,120423072126.687,70116945930.5349,20931399830.4229,29712896615.6289,38318064818.6211,49377811366.8347,67047596545.2221,64253194578.2522,54702381231.8659
37,Caribbean small states,CSS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,377119172.113289,526458954.248366,572953464.052288,653763098.186658,935569632.424357,829172787.585981,885228082.009544,1719728567.7725,1614511925.62887,1680714125.92593,1603241724.90725,1965089748.26541,1923471097.24861,2203487732.3948,2292694846.97475,3132557853.95562,3749473256.04928,3914059457.58788,6464389874.06011,3108814128.45883,2838948468.52325,2182682754.94561,594787669.773581,811998235.39862,2861281263.91449,2577661912.63129
38,Cayman Islands,CYM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,49040000.0,-8540000.0,27490000.0,459760000.0,467070000.0,50310000.0,1231710000.0,3150870000.0,4354110000.0,6475830000.0,7626860000.0,3922820000.0,-195890000.0,-2688560000.0,9669090000.0,10221237000.0,14962802000.0,23218440000.0,19634184000.0,20425775000.0,11948450000.0,19026130000.0,8104034000.0,18176034000.0,23731315000.0,18987382000.0
39,Central African Republic,CAF,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,697850.065105836,-4874038.73164914,-10676567.963142,-9980132.2794484,3602275.00892801,6200565.7641,10925575.5036,1497424.0537,7300593.9466,5976946.5274,889074.912637505,5183898.81029522,5644286.55873559,11300000.0,15100000.0,10100000.0,34670000.0,56750000.0,117110000.0,42280000.0,61520000.0,36908455.8896391,70035157.3288679,1852792.61190451,3475007.99095347,3000000.0
40,Central Europe and the Baltics,CEB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,646818992.0373,1849041210.2598,2511342682.57185,5546137376.707,5305118917.55993,12488366970.902,11295186439.5806,14260254940.8715,19558098870.533,21802591795.0186,23604710222.9746,21573196197.0886,26454689842.5335,20393078947.1403,42935821454.9425,55346683245.4771,81836114436.0508,153404414827.826,138491230696.688,31086576434.5691,20440196166.7572,49530616931.8464,38963514922.9226,15046866243.8796,54649176404.4295,21625869926.2206
41,Chad,TCD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,9400000.0,4239527.50767445,1960770.97412268,15160901.583748,27074698.967103,32611570.1155,39466173.5268,44293940.5725,21696680.4079,24524970.8055,115172421.542299,459866391.829084,924119210.086831,712663454.920853,466793492.149124,-99342519.3566245,-278414000.0,-321655000.0,466131000.0,374900000.0,313000000.0,281900000.0,579793037.390775,520200793.45802,-675545847.112244,600219798.79956
43,Chile,CHL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,661200000.0,822700000.0,936100000.0,1034300000.0,2582100000.0,2957000000.0,4814616000.0,5271400000.0,4627817978.0,8761016217.84,4860015667.52,4199763048.85,2549923142.41108,4059335594.47001,6847694629.77351,7525548373.58942,7659148331.11247,13562872053.514,18627398294.3851,13966041793.2391,16153354561.3605,24373585096.4419,30561690391.9069,21092278856.503,24011458728.6005,20468714299.2631
44,China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3487000000.0,4366000000.0,11156000000.0,27515000000.0,33787000000.0,35849200000.0,40180000000.0,44237000000.0,43751000000.0,38753000000.0,42095300000.0,47053000000.0,53073618897.4036,57900937467.3864,68117272181.2194,104108693867.085,124082035618.506,156249335203.202,171534650311.569,131057052869.5,243703434558.178,280072219149.935,241213868161.42,290928431467.003,268097181064.335,242489331627.399
45,Colombia,COL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,500000000.0,456900000.0,728700000.0,959100000.0,1446497261.33581,968368273.647335,3111676589.81669,5562216361.61769,2828826261.61252,1507907130.44589,2436459923.42856,2541942612.20739,2133698124.14946,1720493455.49813,3115635873.52058,10235419011.1676,6750618034.74878,8885767539.67293,10564672090.7627,8034594779.63952,6429943091.26011,14647755353.7554,15039372277.4535,16208677908.3267,16163137318.7151,11732167013.2216
46,Comoros,COM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,393003.10379242,2506163.33401032,-1446978.12497841,190704.780596669,177714.239994358,889525.017698176,510000.0,20000.0,384216.3907,271000.0,93636.11507504,1145914.99493433,430423.479313848,791465.102946359,671354.693890846,558643.248749362,777728.34585899,7681783.08246288,4631824.18450966,13784111.9489669,8342263.1250314,23088175.8019521,10375785.658299,4230442.06456108,4678330.4361,5146839.5062
47,"Congo, Dem. Rep.",COD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-14460000.0,12390000.0,-730000.0,6870000.0,-1500000.0,-22350000.0,24790000.0,-44350000.0,61330000.0,11160000.0,94190400.0,102221900.0,187598693.693694,391254723.550069,409032814.51248,180000000.0,256100000.0,1808000000.0,1726800000.0,-243200000.0,2742300000.0,1686900000.0,3312142743.28317,2098249103.29472,1843173235.91732,1673500100.15718
48,"Congo, Rep.",COG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,22551558.2245,32753529.6891,2739032.5359,286054322.0689,2990000.0,125018925.758043,72579070.6931468,79171534.7572172,32777255.4191937,538212550.239714,-97897925.1179687,-135361238.247372,199155450.954144,219545648.817082,88399286.0999307,800996241.640624,1487693084.45891,2638405259.74516,2031879947.7451,1273828533.6711,928436006.5176,2179856145.6007,2151894023.2348,2913934094.4053,5502260246.9585,1486178037.0276
49,Costa Rica,CRI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,162500000.0,178400000.0,226000000.0,246700000.0,297600000.0,336900000.0,426950000.0,408170000.0,613080000.0,619469212.0,723426415.264239,621846413.159734,723172624.768835,774386239.764205,1083718486.49799,1528787464.115,1801002598.41588,2241492021.19677,2436112218.26755,1614614468.45234,1906923793.45078,2733268839.98155,2696295210.67893,3205384976.80294,3275414475.38463,3145009997.85251
50,Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,48114925.5415076,16305875.0295171,-230834501.963191,87900032.7089422,77989253.9432915,211482185.503018,269180619.328979,415303614.48062,380014112.44914,323675947.635538,234701641.053396,272680081.703965,212629136.66552,165347467.486846,282979933.109701,348920761.502346,350652855.728047,443215533.117434,466489596.954486,396030773.972889,358118908.982355,301577298.55306,330274411.529178,407476278.301898,438772529.1506,430157849.3533
51,Croatia,HRV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7287682988.79307,5825475306.284098,13000000.0,144186480.153655,114440874.376863,108053139.664729,492528182.656309,541135803.686081,940830562.172983,1452386278.07328,1056781254.72467,984168063.019211,953751427.253018,1826223974.97394,1293085521.96946,1794317620.12721,3299038091.69786,4567377358.86025,5187844808.8034,3198815037.16804,1424108328.1181,1417600259.48312,1465100044.52763,937309759.586375,3959857736.72732,158968737.615967
54,Cyprus,CYP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,126615461.385104,81820990.7445387,107441112.68656,83432989.4040103,75174068.6034487,243136818.613671,233749453.825101,546519214.603176,345398143.229372,813054280.084962,854874285.662108,944742873.957096,1103449726.13198,908147517.991038,1118841808.54651,1161973511.03819,1872392934.88876,2295454939.77526,2337953031.23866,2830582843.30053,13596805274.1596,-11920544949.5203,49600567279.3727,-6025166434.49988,-754354504.948983,8011131462.86352
56,Denmark,DNK,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1132146349.95012,1552515350.88704,1017385349.25764,1712766177.9681,5006178362.05013,4139423319.68617,773444115.829278,2791671359.18635,6674661469.00367,16847919225.9809,36013297907.195,9286404805.96887,4430703178.95051,1184825159.91313,-8804165491.10019,12834261392.1535,2419919718.29979,11809448518.2128,2191207507.4873,3918212678.04408,-11766404172.5532,13555949081.5495,2753929972.48872,-862218938.462354,5101511954.33477,1888667819.5429
57,Djibouti,DJI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7287682988.79307,2290106.40273237,2290106.40273237,1423579.65575256,1423579.65575256,3218527.9173536,3263542.29382009,3100365.17912908,3173513.54088712,3212901.12029529,3286049.48205333,3392958.62616123,3432346.2055694,14224542.9634089,38543559.8494269,22203341.1920932,108287709.387186,195351140.270424,227654582.182184,96859684.5617569,36501032.5172602,79000230.6986794,109998255.692912,286004467.676864,152998382.294329,123998424.487959
58,Dominica,DMA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,12888888.8888889,15222222.2222222,20411111.1111111,13200000.0,22600000.0,54092592.5925926,17800000.0,21114814.8148148,6511111.11111111,17955555.5555556,17596296.2962963,17115925.9259259,20110637.037037,31472140.7407407,26173948.1481481,19235559.2592593,25907525.9259259,40486774.8148148,56548262.9629629,42420685.5555556,24341705.1851852,14192972.5925926,23152398.1481481,17915757.4074074,35410370.3704,35956666.6666667
59,Dominican Republic,DOM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,132800000.0,145000000.0,179700000.0,189300000.0,206800000.0,414300000.0,96500000.0,420600000.0,699800000.0,1337800000.0,989000000.0,1087900000.0,926000000.0,616530000.0,934480000.0,1118400000.0,1528700000.0,2252900000.0,2728400000.0,1695300000.0,1820200000.0,2197500000.0,3415900000.0,1599900000.0,2385300000.0,2227300000.0
60,Early-demographic dividend,EAR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,11079077876.2415,15745359729.23,17266466463.7637,18146338778.2853,29755599772.0845,33570417058.9211,41104595536.9481,57576990534.733,50608188027.8379,59198870261.391,51384675967.3368,59921009265.8943,51164490558.9656,42976804946.6777,63503597439.0397,111549137159.724,154352099044.812,195407881969.766,235622855031.561,168027710263.47,180942396012.895,193334101798.166,183453813680.172,211664632543.602,187799493236.775,213819587337.429
61,East Asia & Pacific,EAS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,29807929801.2785,27585828015.0128,35592282554.221,51949453201.0769,64710817858.0625,81052985803.7108,81172485151.0851,94780186362.7672,96055394383.3065,120588296452.391,174697200321.913,127669016973.71,112876647110.263,126791315774.692,198734991602.689,187816200277.391,285603592383.337,396421101441.182,385552388675.551,287309026988.074,496299302479.001,559852314454.1,517043825781.12,590026829225.875,619264253868.66,610035186417.663
62,East Asia & Pacific (excluding high income),EAP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10451967904.8529,13337659853.1458,21404535493.2633,38907838236.2465,45563601735.3143,50797426350.1397,58568392125.988,62529210489.8197,57851008336.5633,50388416421.6774,48210165805.8382,52533065339.1794,63294753312.8157,68501427443.9056,83280428818.7031,129274194824.112,152273580587.784,193461037611.91,211340330364.921,155407905219.219,297956039723.027,336312981229.937,303828705332.506,360761439580.76,329474878184.023,307335972866.891
63,East Asia & Pacific (IDA & IBRD countries),TEA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10513757904.8529,13204889853.1458,21403615493.2632,38899348236.2465,45564261735.3143,50797226350.1397,58562772125.988,62303060489.8197,57818818336.5633,50409446421.6774,48202287453.0716,52551326482.4435,63291132828.7201,68502602690.3436,83222732102.6726,129284109818.382,152542936843.423,193444520851.051,211177101021.628,155402073090.225,297944557967.143,336195306356.967,303629011458.827,360690762690.597,329451467299.408,307287641025.039
64,Ecuador,ECU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,126000000.0,160000000.0,178000000.0,473720000.0,576330000.0,452480000.0,499680000.0,723950000.0,869980000.0,648410000.0,-23439367.9139981,538568575.17,783261009.55,871513414.023619,836939593.895645,493413835.545644,271428852.53,193872526.93,1056888020.15482,307960890.109,165320320.363638,643709358.687904,567035300.85638,726814206.263418,771822946.091118,1321508337.30748
65,"Egypt, Arab Rep.",EGY,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,734000000.0,253000000.0,459000000.0,493000000.0,1256000000.0,598000000.0,636000000.0,890550000.0,1076000000.0,1065300000.0,1235000000.0,509900000.0,646900000.0,237400000.0,1253300000.0,5375600000.0,10042800000.0,11578100000.0,9494600000.0,6711600000.0,6385600000.0,-482700000.0,2797700000.0,4192200000.0,4783200000.0,6884800000.0
66,El Salvador,SLV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1898272.08566561,25180498.960499,15309478.7202233,16432044.0179603,2180000.0,38037218.5997811,-4797258.70930897,59043540.3283369,1103712164.47744,215800000.0,173400000.0,278900000.0,470000000.0,141200000.0,363270000.0,511140000.0,241130000.0,1550510000.0,903050000.0,368730000.0,-113160683.724283,122500004.314785,447709564.212642,242345997.420128,509251538.57993,496992814.092298
