name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015
Fiji,FJI,9.256819784,9.633455766,10.58667537,11.31041432,11.64845962,11.30238364,11.13676935,10.87489328,10.45912333,11.01344438,12.19894741,12.26991935
Finland,FIN,13.17298341,14.41617085,16.95207175,16.11415674,16.06794043,14.96667639,15.49782561,15.08069094,13.58386633,12.1961853,12.05686018,8.067428718
Fragile and conflict affected situations,FCS,1.768537835,1.878292139,1.859842788,2.108363529,2.373260407,2.765753429,2.878931733,2.958661227,2.970846385,3.525055421,3.758058991,3.961292513
France,FRA,21.56349825,21.9998762,45.89163692,44.89053194,44.56006074,41.92404405,41.57371849,41.38512301,39.00721267,38.66794976,37.98863838,37.5175577
"Gambia, The",GMB,4.260378348,4.511943113,5.255630094,6.189410525,7.408748909,7.742141157,9.47278447,9.177738648,8.781490684,9.194556822,8.984760687,9.053321262
Georgia,GEO,9.375843274,10.78583336,13.02694695,15.96098151,20.60017058,19.63246738,20.20499568,22.57443951,26.89197342,31.86430535,31.76149549,31.92479993
Germany,DEU,21.26901093,20.18391043,16.67800265,16.30281928,16.31470146,15.85733642,15.7042927,15.53656716,14.16187351,14.59825981,14.5189931,14.05620983
Ghana,GHA,3.063164631,3.229301604,3.600889556,4.564421126,4.765185469,5.091781621,5.360788854,5.379459723,5.676336086,5.847602464,6.080887538,7.167494019
Greece,GRC,34.05672705,35.19950906,38.01636289,40.04374765,42.46533774,42.08701881,41.11488294,39.45995746,37.58829779,32.47620511,28.16747338,26.81967185
Grenada,GRD,38.07750888,34.71017008,34.20534151,33.8189738,33.51386133,33.23319065,32.94675804,34.03096818,35.07769059,34.8131052,34.57770378,34.38001375
Guatemala,GTM,17.56650429,17.35328702,17.0188697,27.12491511,29.7832285,32.21783759,33.00050119,33.80703206,34.37613928,34.68884737,34.49717782,34.40929314
Guinea,GIN,0.680648961,0.665045434,0.757097655,0.824255272,1.021651694,1.1892816,1.297681588,1.431495324,1.571055834,1.627514675,2.176754144,2.346152758
Guinea-Bissau,GNB,0.1222092,0.238069164,0.348507343,0.453072454,1.103567613,1.719407707,1.778304063,2.141266488,2.284175234,2.513760421,2.446616705,2.472593137
Guyana,GUY,6.180957111,6.195085375,6.345003204,6.471681176,6.585568139,6.700643668,6.820981339,7.467892973,7.720696098,8.16080196,8.392500462,8.423196017
Heavily indebted poor countries (HIPC),HPC,1.164196725,1.208234289,1.216540243,1.740756981,2.225477229,2.544383999,2.81561831,2.769187399,2.95098009,3.236779103,3.725566821,3.622360108
High income,HIC,23.67292705,24.55254096,25.43580128,25.30833159,25.34964225,24.68764836,23.96584594,23.88035482,23.3647137,22.90583307,21.26283003,20.13811922
Honduras,HND,16.2424736,17.10119766,19.21194562,22.91117564,24.35652312,23.41717037,20.5882078,20.92644355,23.00427141,23.39713385,23.28828759,21.16077562
"Hong Kong SAR, China",HKG,23.53857907,23.18291119,22.99441956,23.34494632,23.72791583,23.48562791,23.87859242,23.88035482,23.3647137,22.97080395,22.74079212,22.32625619
Hungary,HUN,13.78842588,14.80699311,16.1274712,17.29669461,17.93918087,17.60340622,16.74163399,16.41276175,16.06625956,15.41095214,15.51295363,15.14606273
IBRD only,IBD,9.906589603,10.81546372,11.92723046,12.69871375,13.33482823,13.39761623,13.57534931,14.08323374,13.13703153,14.01747549,15.05369882,15.62372928
Iceland,ISL,90.77837861,86.0367813,77.47060767,73.26046729,69.69950687,60.91050412,57.65242295,52.27427897,47.1868384,43.15228386,40.30166917,37.17741038
IDA & IBRD total,IBT,4.904089386,5.293868682,5.33228901,5.848334507,6.283791533,6.774834777,6.785860368,7.16312181,7.870271336,8.166717499,8.626005729,8.864604571
IDA blend,IDB,3.820588998,3.672034554,3.423386696,3.79626049,4.252842822,4.627394182,4.78298388,5.600069647,5.769542087,5.855403921,5.726999885,7.935399782
IDA only,IDX,1.742473801,1.578551854,1.616200515,1.975652552,2.33638676,2.735378537,2.936515326,3.152334114,3.280704869,3.635358405,3.649601163,3.283427704
IDA total,IDA,1.935216252,2.000132009,2.034629392,2.215689883,2.489976917,2.813966347,3.357403583,3.611001082,3.688459796,4.117382913,4.620018065,4.676014895
India,IND,8.962884124,8.925328359,8.895780807,9.006096049,9.312940246,9.60197962,10.0376104,10.51197766,11.18509358,11.85444972,12.87162345,13.54871446
Indonesia,IDN,5.166451522,5.275983433,5.720283982,5.970074736,6.583659096,7.647267469,8.124068724,14.74011236,16.92652814,17.72089392,17.93057043,17.76273172
"Iran, Islamic Rep.",IRN,28.42544067,27.72493334,27.50291453,27.64126256,28.4423102,28.12855211,25.93673836,29.21777535,26.81013984,27.3717985,27.31014833,30.98027996
Ireland,IRL,35.69547313,34.38623727,33.70988261,32.92789713,33.47317613,34.12137255,27.96387029,26.99957,24.48082525,22.90583307,21.42278124,20.13811922
Israel,ISR,19.78913637,19.60090083,19.40492644,19.45205427,19.81859539,19.67347501,21.54289147,21.86360383,21.8388344,21.4761977,20.84643473,20.05673108
Italy,ITA,56.18230466,56.73303413,57.96761816,59.13166208,62.57224233,59.66197392,58.40362169,57.958942,56.42706017,53.25329548,50.77758951,49.49120566
Jamaica,JAM,7.24716209,7.010683184,6.976277454,6.946391331,7.125193996,6.774834777,6.425750911,6.296302773,6.212626625,5.884726966,5.330808503,5.424322719
Japan,JPN,34.58892415,34.37391681,34.1128108,33.89568864,33.84023789,33.79883157,33.79299639,33.8711337,33.92434373,33.88855935,33.88086427,34.13676002
Jordan,JOR,19.47340789,19.01188152,18.17909618,18.25527176,18.05276482,17.82304522,18.3941228,18.54076709,18.49590576,18.35076113,18.28690771,18.25774545
Kazakhstan,KAZ,3.732428684,3.959447896,3.085080798,3.298435734,3.49689198,3.371744719,3.264564741,3.329068461,3.294145078,3.278982421,3.390387092,2.963414245
Kenya,KEN,2.975929326,2.868758604,2.987845541,3.680640096,4.252842822,4.627394182,4.78298388,5.061733405,5.372509433,5.497061472,5.726999885,5.853975388
"Korea, Rep.",KOR,16.80586432,17.28818011,17.82439468,18.36035897,18.78761129,18.28889167,18.262175,18.31289197,18.41195118,18.11816123,17.3328671,16.92456499
Kosovo,XKX,24.5949232,24.57822649,24.38160479,24.18654115,23.99304971,23.8011161,23.61069967,23.40929859,23.14992242,22.095692,20.59918297,20.57505901
Kuwait,KWT,13.01799738,13.83692554,14.55294096,15.28029897,15.28789008,15.59511603,15.43916073,15.68866589,14.60855909,15.20262177,15.19202096,14.78548641
Kyrgyz Republic,KGZ,5.145950212,5.311753932,5.33228901,6.425068686,6.826180064,6.919859441,6.107048227,7.156279309,7.703208687,7.842708168,7.878527903,8.27133141
Late-demographic dividend,LTE,13.54100533,13.6060209,14.20475752,15.96098151,18.79731782,19.5769873,19.469407,19.48671242,19.09319087,19.27099982,19.79673178,19.89808895
Latin America & Caribbean,LCN,11.65043413,12.60619459,12.89345121,12.95507783,13.33482823,13.39761623,13.57534931,13.52805628,13.13703153,13.17432509,14.90180077,15.32080735
Latin America & Caribbean (excluding high income),LAC,9.942528545,10.81546372,11.14958559,12.24786601,13.10006754,13.29623644,13.50088736,13.56164262,14.0336336,14.01747549,15.05369882,15.62372928
Latin America & the Caribbean (IDA & IBRD countries),TLA,11.65043413,12.60619459,12.89345121,12.95507783,13.33482823,13.39761623,13.57534931,13.52805628,13.13703153,13.17432509,14.90180077,15.32080735
