name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Tajikistan,TJK,0.077479907,0.298690024,3.772406207,7.197619518,8.78,10.07,11.55,13.03,14.51,16,17.49
Tanzania,TZA,0.877574971,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,7
Thailand,THA,10.67730332,15.02600436,17.16071472,20.03,18.2,20.1,22.4,23.66992562,26.46,28.94,34.89
Timor-Leste,TLS,17.65803592,0.099031768,0.5,1,1.5,2,3,4,7,11,17.5
Togo,TGO,1.5,1.8,2,2.2,2.4,2.6,3,3.5,4,4.5,5.7
Tonga,TON,3.952373895,4.907782762,5.853944095,7.179865329,8.110769944,10,16,25,30,32.75396061,35.95444145
Trinidad and Tobago,TTO,27.02427008,28.97671243,30.00374858,32.3,34.8,44.3,48.5,55.2,59.5162,63.8,65.1
Tunisia,TUN,8.528817752,9.655086542,12.98640865,17.1,27.53,34.07,36.8,39.1,41.4416,43.8,46.16
Turkey,TUR,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.06571043,45.13,46.25,51.04
Turkmenistan,TKM,0.754053983,0.997256559,1.319573118,1.406360688,1.75,1.95,3,5,7.1958,9.6,12.2
Uganda,UGA,0.71997068,1.742205503,2.529363038,3.671965351,7.9,9.78,12.5,13.01354333,14.1,15.5,16.9
Ukraine,UKR,3.489477881,3.749764415,4.506124564,6.55,11,17.9,23.3,28.70826284,35.27,40.954129,46.23597546
United Arab Emirates,ARE,30.13129617,40,52,61,63,64,68,78,84.9999915,88,90.4
United Kingdom,GBR,65.61,70,68.82,75.09,78.39,83.56,85,85.37999855,87.47999842,89.8441,91.61
United States,USA,64.75825648,67.96805292,68.93119327,75,74,71,71.69,69.72946076,74.7,71.4,73
Upper middle income,UMC,9.946611326,11.5671719,14.08811793,18.75267674,23.49378321,28.50372102,33.88045575,38.14851008,42.75353492,46.18498262,49.02025566
Uruguay,URY,17.06309834,20.08818956,29.4,34,39.3,41.8,46.4,51.40466106,54.45376868,57.69,61.46
Uzbekistan,UZB,2.593725421,3.343509888,6.388321967,7.490604681,9.080114523,11.9,15.9,18.6,23.6,26.8,35.5
Vanuatu,VUT,4.746602619,5.082333808,5.850585059,6.8,7.269119923,7.5,8,9.2,10.598,11.3,18.8
"Venezuela, RB",VEN,8.404469592,12.55299791,15.22471148,20.83,25.88,32.7,37.37,40.22,49.05008307,54.9,57
Vietnam,VNM,7.642408528,12.73992929,17.25456172,20.75544477,23.92,26.55,30.65,35.07,36.8,38.5,41
Virgin Islands (U.S.),VIR,27.37700879,27.34431967,27.33261054,27.33933584,27.36177742,27.39650968,31.22,35.6,40.5479,45.3,50.07
West Bank and Gaza,PSE,4.400904826,16.005,18.41,21.176,24.358,32.23,37.4,41.08,43.4,46.6,53.67
World,WLD,14.17277668,15.78830954,17.58107611,20.51262307,23.06702536,25.48700486,28.85404589,31.275521,34.34096965,36.88529875,39.93869834
"Yemen, Rep.",YEM,0.881222989,1.048597934,1.247824049,5.01,6.89,9.96,12.35,14.905,17.4465,20,22.55
Zambia,ZMB,2.013549532,2.851752261,4.159913394,4.87,5.55,6.31,10,11.5,13.4682,15.4,19
Zimbabwe,ZWE,2.1,2.4,2.4,3,3.5,4,6.4,8.4,12,15.5,16.36473996
