Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Hungary,HUN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.26038E+11,1.31562E+11,1.36635E+11,1.37248E+11,1.38468E+11,1.2938E+11,1.30256E+11,1.32521E+11,1.30398E+11,1.33158E+11,1.38548E+11
IBRD only,IBD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.3662E+13,1.46294E+13,1.58137E+13,1.72095E+13,1.8182E+13,1.8565E+13,1.99544E+13,2.11812E+13,2.22153E+13,2.33155E+13,2.4357E+13
Iceland,ISL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,11874874483,12671012623,13304647025,14548640743,14769687773,13744089340,13254818331,13518208903,13682797877,14286419350,14561453492
IDA & IBRD total,IBT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.46812E+13,1.57081E+13,1.69661E+13,1.84388E+13,1.94767E+13,1.99231E+13,2.13962E+13,2.26898E+13,2.37948E+13,2.49842E+13,2.61207E+13
IDA blend,IDB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,5.0585E+11,5.30513E+11,5.67004E+11,6.00796E+11,6.26663E+11,6.59545E+11,6.99997E+11,7.34472E+11,7.67971E+11,8.0932E+11,8.57037E+11
IDA only,IDX,GDP (constant 2010 US$),NY.GDP.MKTP.KD,5.12394E+11,5.46957E+11,5.83355E+11,6.25394E+11,6.65129E+11,6.96976E+11,7.39442E+11,7.70449E+11,8.07704E+11,8.55989E+11,9.03496E+11
IDA total,IDA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.02335E+12,1.08236E+12,1.15565E+12,1.23143E+12,1.29663E+12,1.36173E+12,1.44498E+12,1.51094E+12,1.58189E+12,1.67166E+12,1.76738E+12
India,IND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.01679E+12,1.1112E+12,1.21414E+12,1.33315E+12,1.38502E+12,1.50246E+12,1.65662E+12,1.76659E+12,1.86298E+12,1.98195E+12,2.1307E+12
Indonesia,IDN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,5.4044E+11,5.71205E+11,6.02627E+11,6.40863E+11,6.79403E+11,7.10852E+11,7.55094E+11,8.01682E+11,8.50024E+11,8.97262E+11,9.42185E+11
"Iran, Islamic Rep.",IRN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3.53647E+11,3.6853E+11,3.89552E+11,4.25065E+11,4.28991E+11,4.38921E+11,4.6779E+11,4.85331E+11,4.53257E+11,4.44593E+11,4.63903E+11
