Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Estonia,EST,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,9567,10311,10152,8153,5683,5780,6261,6034,4807,4807,4807
Euro area,EMU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,9890,9767,11060,10434,10224,8110,7844,8019,7507,7393.39,7603.36
Europe & Central Asia,ECS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,9450.5,9706,10152,10404,10104,7582,7844,8019,8110,7393.39,7487.13
Europe & Central Asia (excluding high income),ECA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,5212,6127,5677,7379,5800.5,5417,5048,6055,5583.5,4092.8,4987.5
Europe & Central Asia (IDA & IBRD countries),TEC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,6381.5,7398.5,6127,8529.5,6928,6499.5,6228,6950.5,8212,5539.6,6179.2
European Union,EUU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,10105,10311,11500,11064,10777,8110,7844,8707,7507,7393.39,7603.36
Finland,FIN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,10105,9706,11060,10434,10777,8872,9760,9395,9275,9470,9597
France,FRA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,45121,41898,42124,42435,41530,26482,22840,23242,31616,24032,24598
Gabon,GAB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1949,2219,2219,2202,2502,2485,2238,2417,2417,2613,2447
Georgia,GEO,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,4855.8,6127,6127,7379,6928,5417,6228,6055,121652.7957,5539.6,4987.5
Germany,DEU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,77620,88022,89690,91013,91178,93946,105794,111980,105894,75247,74818
Greece,GRC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,588,613,661,835,786,538,538,538,538,538,538
High income,HIC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,10373,10311,11520,11282,11500,9273,9088.5,9395,8692.5,8624.815,8889.46
Hungary,HUN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,8270,8997,9083,8323,7786,447,1000,733,1179,705,439.14
IBRD only,IBD,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,4136.5,4932,4962.5,5837,4343,4071.5,3901,5038.5,4032,4032,4987.5
IDA blend,IDB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1399,1399,2527,4499.5,3092,128438.3272,122287.625,1464.5,1407,1406.98,125538.9988
India,IND,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,381241,407398,439596,480993,521371,551448,600548,625723,625723,649645,665810
Indonesia,IDN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,106230.0683,4698,4698,125967.3091,4390,128438.3272,122287.625,7166,7166,7166,7166
"Iran, Islamic Rep.",IRN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,18182,19127,20542,20542,21829,20540,20247,21008,22604,22400,24461
Ireland,IRL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,399,303,166,129,103,79,92,105,91,98,100
Israel,ISR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1190,1149,1135,1175,1055,1055,1062,1099,1099,1099.233,1099
Italy,ITA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,23270,21045,21852,22340,19918,13569,12037,11545,11249,10558,10343
Japan,JPN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,22200,21900,23014,23145,23032,22100,20432,20255,20255,20255,20255
Jordan,JOR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,198,1024,517,517,789,353,353,344,344,344.1,344
Kazakhstan,KAZ,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,163420,171855,191189,191189,214907,197302,213174,223584,235846,231248,216524
"Korea, Rep.",KOR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,10641,10108,10554,10927,11566,9273,9452,9996,9996,10459,9564
Late-demographic dividend,LTE,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,5209.9,5851,5977,7766,4627.5,4764,5572,6005,4807,4807,4897.25
Latvia,LVA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,16877,17921,15273,16735,17704,18693,17164,17164,16930,14991,15257
Lithuania,LTU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,11637,9767,12896,14373,14748,11888,13431,15088,14172,13344,14307
Lower middle income,LMC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1399,1399,1736.7,125967.3091,2370,128438.3272,122287.625,1757,121652.7957,1757,125538.9988
Luxembourg,LUX,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,106230.0683,392,441,287,291,189,189,189,189,189,189
"Macedonia, FYR",MKD,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,426,530,614,778,743,497,497,117128.5663,121652.7957,423,423
Malaysia,MYS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1224,1178,1572,1355,1350,1384,1384,1535,3071,3071,3071
Mexico,MEX,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,106230.0683,54387,54387,75600,71136,128438.3272,122287.625,69185,69185,69185,78770
Middle East & North Africa,MEA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1945,2082,1751.7,1913.5,1972.5,1910.5,1910.5,1722,1722,1722.068,1722
Middle East & North Africa (excluding high income),MNA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2082,2258,2124.2,2374.7,2283.5,2221.5,2221.5,1808,1808,1808.3085,1808
Middle East & North Africa (IDA & IBRD countries),TMN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2082,2258,2124.2,2374.7,2283.5,2221.5,2221.5,1808,1808,1808.3085,1808
Middle income,MIC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2682,2928,3447,3917,3910,128438.3272,3840,2873,2850,2613,3071
Moldova,MDA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,106230.0683,2980,3655,3092,3092,1017,927,1172,945,945,1179
Mongolia,MNG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,8857,110074.3762,9218.5,8361,8261,7852,10287,11418,11418,12077,12474
Morocco,MAR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,5564,5919,5827,5837,4959,4111,5572,5976,5976,5976,5383.5
Mozambique,MOZ,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,106230.0683,768,768,768,695,695,695,1194,1193,1193,1193
North America,NAC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1342044.755,1528087,1595596.5,1586644,1573192,1344730.5,1395739.5,1389327,1438560,1446944.5,1527635.5
OECD members,OED,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,10373,11490,11540,11500,11566,9681,9606,10365.5,9996,10244,9597
Pakistan,PAK,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,4796,4796,5907,5907,6187,6187,6187,1757,1757,1757,1090
Peru,PER,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1159.117,1101.449,1164.402,1267.228,627,128438.3272,900,900,900,900,900
Poland,POL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,47847,46060,42651,43548,39200,29940,34266,37189,32904,33256,32017
Portugal,PRT,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2675,2422,2763,2585,2550,128438.3272,1932,2064,2064,2064,2063
Post-demographic dividend,PST,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,12378.5,11586,12295.5,15554.5,12512,11888,10898.5,11545,10622.5,10508.5,9734
Romania,ROU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,15767,16032,14720,13471,12861,8902,9134,13539,11200,9092,10265
Russian Federation,RUS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1801600,1801601,1950000,2090337,2400000,1865305,2011308,2127212,2222388,2172685,2298564.1
Saudi Arabia,SAU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1173,1192,1270,1630,1748,1748,1748,1852,1852,1852,1852
Serbia,SRB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,3164,3614,4366,4417,4214,3013,3868,3797,2955,2646,2589
Slovak Republic,SVK,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,9675,9326,9703,9331,9004,6465,7669,7290,7262,6810,6888
Slovenia,SVN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,3462,3245,3373,3603,3520,2668,3283,3584,3227,3533.75,3847.04
South Africa,ZAF,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,108503,108513,108513,108513,106014,113342,113342,113342,113342,113342,134600
South Asia,SAS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2845.7495,2846,3362,5907,3528.5,128438.3272,6187,1757,1757,1757,1090
South Asia (IDA & IBRD),TSA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2845.7495,2846,3362,5907,3528.5,128438.3272,6187,1757,1757,1757,1090
Spain,ESP,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,14117,11586,11540,11064,10224,7348,7844,8019,7507,7393.39,7603.36
Sudan,SDN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,889,756,766,765,766,128438.3272,122287.625,925,770,879,125538.9988
Switzerland,CHE,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,9313,11394,11695,16736,16227,12460,8725,8747,8110,7779.63,8214.92
Syrian Arab Republic,SYR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1924,2258,2074.4,2552.4,2370,2370,2370,2206.3,2206,2206,2206
Tajikistan,TJK,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1117,110074.3762,1220.1,1274.4,1274,1282,808,703,555,555,554
Thailand,THA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,4085,4037,113995.5157,125967.3091,3161,3161,3161,2455,2455,2455,2455
Tunisia,TUN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2082,2082,2174,2197,2197,2073,2073,2024,2024,2024.481,2024
Turkey,TUR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,9334,8939,9544,9680,10104,9681,11030,10735,10691,10244,11145
Turkmenistan,TKM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,106230.0683,8670,8670,10441,10973,11547,11992,11992,11992,11992,11992
Ukraine,UKR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,233961,223980,240810,240810,257006,196188,218091,243866,237722,224434,211233
United States,USA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2429484.356,2717513,2839124,2820061,2788230,2431181,2468738,2524585,2524585,2541354,2702736
Upper middle income,UMC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,6381.5,6766,8449,9049,6861,5371.5,3868,7846,8212,5514.65,8817.95
Uzbekistan,UZB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,18428,18007,18007,19281,21594,24238,22282,22482,22482,22482,22686
Vietnam,VNM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2682,2928,3447,3881,3910,3807,3901,4101,3959,3733,4251.9
